uframe_route,filename_mask,reference_designator,data_source,
Ingest.vel3d-l-wfp_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/GWFP_sn12997-01/0*/A*.DA?,GP02HYPM-WFP02-05-VEL3DL000,recovered_wfp,
Ingest.ctdpf-ckl-wfp_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/GWFP_sn12997-01/0*/C*.DA?,GP02HYPM-WFP02-04-CTDPFL000,recovered_wfp,
Ingest.dosta-ln-wfp_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/GWFP_sn12997-01/0*/E*.DA?,GP02HYPM-WFP02-03-DOSTAL000,recovered_wfp,
Ingest.flord-l-wfp_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/GWFP_sn12997-01/0*/E*.DA?,GP02HYPM-WFP02-01-FLORDL000,recovered_wfp,
Ingest.wfp-eng-stc-imodem_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/GWFP_sn12997-01/0*/E*.DA?,GP02HYPM-WFP02-00-WFPENG000,recovered_wfp,
Ingest.vel3d-l-wfp_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/GWFP_sn13104-03/0*/A*.DA?,GP02HYPM-WFP03-05-VEL3DL000,recovered_wfp,
Ingest.ctdpf-ckl-wfp_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/GWFP_sn13104-03/0*/C*.DA?,GP02HYPM-WFP03-04-CTDPFL000,recovered_wfp,
Ingest.dosta-ln-wfp_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/GWFP_sn13104-03/0*/E*.DA?,GP02HYPM-WFP03-03-DOSTAL000,recovered_wfp,
Ingest.flord-l-wfp_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/GWFP_sn13104-03/0*/E*.DA?,GP02HYPM-WFP03-01-FLORDL000,recovered_wfp,
Ingest.wfp-eng-stc-imodem_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/GWFP_sn13104-03/0*/E*.DA?,GP02HYPM-WFP03-00-WFPENG000,recovered_wfp,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/CTDMO_sn37-10257/SBE37*.hex,GP02HYPM-RIM01-02-CTDMOG039,recovered_inst,
Ingest.ctdmo-ghqr-sio_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/CTDMO_sn37-10257/*.DAT,GP02HYPM-RIM01-02-CTDMOG039,recovered_host,
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GP02HYPM/R00003/cg_data/dcl00/MSIOC_sn11690/STATUS/STA*.DA?,GP02HYPM-RIM01-00-SIOENG000,recovered_host,
#,,GP02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Not deployed
#,,GP02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Not deployed
